month,checkpoint_day,export_usd_m,import_usd_m,balance_usd_m,export_yoy_pct,import_yoy_pct,source,status
2021-09,10,19482,20965,-1483,30.6,60.6,관세청 과거 잠정치,잠정
2022-09,10,16130,18600,-2470,-17.2,-11.3,관세청 과거 잠정치(후속 비교표 revision),잠정
2023-09,10,14906,16490,-1583,-7.6,-11.3,관세청 과거 잠정치(후속 비교표 revision),잠정
2024-09,10,18470,18355,115,23.9,11.3,관세청 과거 잠정치(후속 비교표 revision),잠정
2025-08,10,14694,15827,-1133,-4.4,-13.9,관세청 과거 잠정치(후속 비교표 revision),잠정
2025-08,20,35394,34634,760,7.2,0.3,관세청 2026-08-20 비교표,잠정
2025-08,31,58259,51857,6403,1.1,-4.1,관세청 2026-08 월 잠정치 비교표,월말 잠정
2025-09,10,19154,20383,-1229,3.7,11.0,관세청 2026-09-10 비교표,잠정
2026-08,10,21263,19466,1798,45.2,23.0,관세청 2026-09-10 비교표 revision,잠정
2026-08,20,55207,41231,13975,56.0,19.0,관세청 2026-08-20 잠정치,잠정
2026-08,31,98255,63507,34748,68.7,22.5,관세청 2026-08 월 잠정치,월말 잠정
2026-09,10,34973,24606,10367,82.6,20.7,관세청 2026-09-10 잠정치,집계중
