hsk10,official_name,display_name,label_source,item20,middle_category,sub_category,mti6,hs6,hs4,research_large,research_small,research_detail,representative_id,drilldown_name,drilldown_id,classification_status,classification_note
8473304060,디램 모듈,DRAM 모듈,research_taxonomy,반도체,메모리반도체,DRAM,831110,847330,8473,반도체,DRAM,DRAM 모듈,SEMI_DRAM,DRAM 모듈,SEMI_8473304060,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합. HBM·DDR5는 HSK에서 DRAM과 별도 식별되지 않음.
8542321010,디램,DRAM,research_taxonomy,반도체,메모리반도체,DRAM,831110,854232,8542,반도체,DRAM,DRAM,SEMI_DRAM,DRAM,SEMI_8542321010,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합. HBM·DDR5는 HSK에서 DRAM과 별도 식별되지 않음.
8542321030,플래시 메모리,NAND·플래시,research_taxonomy,반도체,메모리반도체,NAND,831120,854232,8542,반도체,NAND,NAND·플래시,SEMI_NAND,NAND·플래시,SEMI_8542321030,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
8542321020,에스램,SRAM,research_taxonomy,반도체,메모리반도체,SRAM,831130,854232,8542,반도체,SRAM,SRAM,SEMI_SRAM,SRAM,SEMI_8542321020,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
8542321090,기타,기타,research_taxonomy,반도체,메모리반도체,기타 메모리,831190,854232,8542,반도체,기타 메모리,기타,SEMI_기타_메모리,기타,SEMI_8542321090,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
8542322000,하이브리드 집적회로,하이브리드 집적회로,research_taxonomy,반도체,메모리반도체,기타 메모리,831190,854232,8542,반도체,기타 메모리,하이브리드 집적회로,SEMI_기타_메모리,하이브리드 집적회로,SEMI_8542322000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
8542323000,복합구조칩 집적회로,복합구조칩 집적회로,research_taxonomy,반도체,메모리반도체,기타 메모리,831190,854232,8542,반도체,기타 메모리,복합구조칩 집적회로,SEMI_기타_메모리,복합구조칩 집적회로,SEMI_8542323000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
8542324000,복합부품 집적회로(MCOs),MCO,research_taxonomy,반도체,메모리반도체,기타 메모리,831190,854232,8542,반도체,기타 메모리,MCO,SEMI_기타_메모리,MCO,SEMI_8542324000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
8542311000,모노리식(monolithic) 집적회로,프로세서·컨트롤러 IC,research_taxonomy,반도체,시스템반도체,프로세서·컨트롤러,831210,854231,8542,반도체,프로세서·컨트롤러,프로세서·컨트롤러 IC,SEMI_프로세서_컨트롤러,프로세서·컨트롤러 IC,SEMI_8542311000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
8542312000,하이브리드 집적회로,프로세서·컨트롤러 IC,research_taxonomy,반도체,시스템반도체,프로세서·컨트롤러,831210,854231,8542,반도체,프로세서·컨트롤러,프로세서·컨트롤러 IC,SEMI_프로세서_컨트롤러,프로세서·컨트롤러 IC,SEMI_8542312000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
8542313000,복합구조칩 집적회로,프로세서·컨트롤러 IC,research_taxonomy,반도체,시스템반도체,프로세서·컨트롤러,831210,854231,8542,반도체,프로세서·컨트롤러,프로세서·컨트롤러 IC,SEMI_프로세서_컨트롤러,프로세서·컨트롤러 IC,SEMI_8542313000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
