20대품목,중분류,세부분류,MTI6,HSK10,HS6,HS4,HSK 품목명
반도체,메모리반도체,DRAM,831110,8473304060,847330,8473,DRAM 모듈
반도체,메모리반도체,DRAM,831110,8542321010,854232,8542,DRAM
반도체,메모리반도체,NAND,831120,8542321030,854232,8542,NAND·플래시
반도체,메모리반도체,SRAM,831130,8542321020,854232,8542,SRAM
반도체,메모리반도체,기타 메모리,831190,8542321090,854232,8542,기타
반도체,메모리반도체,기타 메모리,831190,8542322000,854232,8542,하이브리드 집적회로
반도체,메모리반도체,기타 메모리,831190,8542323000,854232,8542,복합구조칩 집적회로
반도체,메모리반도체,기타 메모리,831190,8542324000,854232,8542,MCO
반도체,시스템반도체,프로세서·컨트롤러,831210,8542311000,854231,8542,프로세서·컨트롤러 IC
반도체,시스템반도체,프로세서·컨트롤러,831210,8542312000,854231,8542,프로세서·컨트롤러 IC
반도체,시스템반도체,프로세서·컨트롤러,831210,8542313000,854231,8542,프로세서·컨트롤러 IC
반도체,시스템반도체,프로세서·컨트롤러,831210,8542314000,854231,8542,프로세서·컨트롤러 IC
반도체,시스템반도체,증폭기 IC,831220,8542331000,854233,8542,증폭기 IC
반도체,시스템반도체,증폭기 IC,831220,8542332000,854233,8542,증폭기 IC
반도체,시스템반도체,증폭기 IC,831220,8542333000,854233,8542,증폭기 IC
반도체,시스템반도체,증폭기 IC,831220,8542334000,854233,8542,증폭기 IC
반도체,시스템반도체,기타 시스템 IC,831230,8523521000,852352,8523,기타 시스템 IC
반도체,시스템반도체,기타 시스템 IC,831230,8523522000,852352,8523,기타 시스템 IC
반도체,시스템반도체,기타 시스템 IC,831230,8523529000,852352,8523,기타 시스템 IC
반도체,시스템반도체,기타 시스템 IC,831230,8542391000,854239,8542,기타 시스템 IC
반도체,시스템반도체,기타 시스템 IC,831230,8542392000,854239,8542,기타 시스템 IC
반도체,시스템반도체,기타 시스템 IC,831230,8542393000,854239,8542,기타 시스템 IC
반도체,시스템반도체,기타 시스템 IC,831230,8542394000,854239,8542,기타 시스템 IC
반도체,시스템반도체,IC 부품·모듈,831240,8542900000,854290,8542,IC 부품·초소형 조립회로
반도체,시스템반도체,IC 부품·모듈,831240,8543901000,854390,8543,IC 부품·초소형 조립회로
반도체,시스템반도체,IC 부품·모듈,831240,8548001000,854800,8548,IC 부품·초소형 조립회로
반도체,개별소자,개별소자,831310,8541211000,854121,8541,"칩, 다이스와 절단되지 않은 웨이퍼"
반도체,개별소자,개별소자,831310,8541219000,854121,8541,기타
반도체,개별소자,개별소자,831310,8541291000,854129,8541,"칩, 다이스와 절단되지 않은 웨이퍼"
반도체,개별소자,개별소자,831310,8541299000,854129,8541,기타
반도체,개별소자,개별소자,831320,8541101000,854110,8541,"칩, 다이스와 절단되지 않은 웨이퍼"
반도체,개별소자,개별소자,831320,8541109000,854110,8541,기타
반도체,반도체 변환소자,센서·액추에이터·변환소자,831330,8541511000,854151,8541,센서
반도체,반도체 변환소자,센서·액추에이터·변환소자,831330,8541512000,854151,8541,액추에이터
반도체,반도체 변환소자,센서·액추에이터·변환소자,831330,8541513000,854151,8541,공진기
반도체,반도체 변환소자,센서·액추에이터·변환소자,831330,8541514000,854151,8541,오실레이터
반도체,개별소자,개별소자,831340,8541902000,854190,8541,개별소자 부품 - 다이오드의 것
반도체,개별소자,개별소자,831340,8541903000,854190,8541,개별소자 부품 - 트랜지스터의 것
반도체,개별소자,개별소자,831340,8541909000,854190,8541,개별소자 부품 - 기타
반도체,개별소자,개별소자,831390,8541301000,854130,8541,"칩, 다이스와 절단되지 않은 웨이퍼"
반도체,개별소자,개별소자,831390,8541302000,854130,8541,사이리스터(thyristor)
반도체,개별소자,개별소자,831390,8541303000,854130,8541,다이액(diac)
반도체,개별소자,개별소자,831390,8541304000,854130,8541,트라이액(triac)
반도체,광전자,광전자 소자,831390,8541411000,854141,8541,레이저소자
반도체,광전자,광전자 소자,831390,8541419000,854141,8541,기타
반도체,광전자,광전자 소자,831390,8541420000,854142,8541,태양전지 셀
반도체,광전자,광전자 소자,831390,8541491000,854149,8541,"칩, 다이스와 절단되지 않은 웨이퍼"
반도체,광전자,광전자 소자,831390,8541492000,854149,8541,광전도 셀
반도체,광전자,광전자 소자,831390,8541493000,854149,8541,전하결합소자
반도체,광전자,광전자 소자,831390,8541499000,854149,8541,기타
반도체,개별소자,개별소자,831390,8541591000,854159,8541,"칩, 다이스와 절단되지 않은 웨이퍼"
반도체,개별소자,개별소자,831390,8541599000,854159,8541,기타
반도체,기타 반도체 소자,압전결정·기타,831390,8541601000,854160,8541,수정진동자
반도체,기타 반도체 소자,압전결정·기타,831390,8541609000,854160,8541,기타
반도체,반도체 소재,실리콘웨이퍼,831400,3818001000,381800,3818,실리콘웨이퍼
반도체,반도체 소재,실리콘웨이퍼,831400,3818002010,381800,3818,실리콘웨이퍼
반도체,반도체 소재,실리콘웨이퍼,831400,3818002090,381800,3818,실리콘웨이퍼
자동차,트랙터,트랙터 신차,741110,8701211000,870121,8701,트랙터 신차
자동차,트랙터,트랙터,741110,8701300000,870130,8701,무한궤도식 트랙터
자동차,트랙터,트랙터 신차,741110,8701911010,870191,8701,트랙터 신차
자동차,트랙터,트랙터 신차,741110,8701921010,870192,8701,트랙터 신차
자동차,트랙터,트랙터,741110,8701929000,870192,8701,트랙터 - 기타
자동차,트랙터,트랙터 신차,741110,8701931010,870193,8701,트랙터 신차
자동차,트랙터,트랙터,741110,8701939000,870193,8701,트랙터 - 기타
자동차,트랙터,트랙터 신차,741110,8701941010,870194,8701,트랙터 신차
자동차,트랙터,트랙터,741110,8701949000,870194,8701,트랙터 - 기타
자동차,트랙터,트랙터 신차,741110,8701951010,870195,8701,트랙터 신차
자동차,트랙터,트랙터,741110,8701959000,870195,8701,트랙터 - 기타
자동차,트랙터,트랙터 중고차,741120,8701212000,870121,8701,트랙터 중고차
자동차,트랙터,트랙터 중고차,741120,8701911020,870191,8701,트랙터 중고차
자동차,트랙터,트랙터,741120,8701919000,870191,8701,트랙터 - 기타
자동차,트랙터,트랙터 중고차,741120,8701921020,870192,8701,트랙터 중고차
자동차,트랙터,트랙터 중고차,741120,8701931020,870193,8701,트랙터 중고차
자동차,트랙터,트랙터 중고차,741120,8701941020,870194,8701,트랙터 중고차
자동차,트랙터,트랙터 중고차,741120,8701951020,870195,8701,트랙터 중고차
자동차,트랙터,트랙터 신차,741130,8701221000,870122,8701,트랙터 신차
자동차,트랙터,트랙터 신차,741130,8701231000,870123,8701,트랙터 신차
자동차,트랙터,트랙터 신차,741130,8701291000,870129,8701,트랙터 신차
자동차,트랙터,트랙터 중고차,741140,8701222000,870122,8701,트랙터 중고차
자동차,트랙터,트랙터 중고차,741140,8701232000,870123,8701,트랙터 중고차
자동차,트랙터,트랙터 중고차,741140,8701292000,870129,8701,트랙터 중고차
자동차,트랙터,트랙터 신차,741150,8701241000,870124,8701,트랙터 신차
자동차,트랙터,트랙터 중고차,741160,8701242000,870124,8701,트랙터 중고차
자동차,버스·승합차,버스·승합차 신차,741210,8702101010,870210,8702,디젤 버스·승합차 신차
자동차,버스·승합차,버스·승합차 신차,741210,8702102010,870210,8702,디젤 버스·승합차 신차
자동차,버스·승합차,버스·승합차 신차,741210,8702103010,870210,8702,디젤 버스·승합차 신차
자동차,버스·승합차,버스·승합차 신차,741210,8702901010,870290,8702,기타 내연기관 버스·승합차 신차
자동차,버스·승합차,버스·승합차 신차,741210,8702902010,870290,8702,기타 내연기관 버스·승합차 신차
자동차,버스·승합차,버스·승합차 신차,741210,8702903010,870290,8702,기타 내연기관 버스·승합차 신차
자동차,버스·승합차,버스·승합차 중고차,741220,8702101020,870210,8702,디젤 버스·승합차 중고차
자동차,버스·승합차,버스·승합차 중고차,741220,8702102020,870210,8702,디젤 버스·승합차 중고차
자동차,버스·승합차,버스·승합차 중고차,741220,8702103020,870210,8702,디젤 버스·승합차 중고차
자동차,버스·승합차,버스·승합차 중고차,741220,8702901020,870290,8702,기타 내연기관 버스·승합차 중고차
자동차,버스·승합차,버스·승합차 중고차,741220,8702902020,870290,8702,기타 내연기관 버스·승합차 중고차
자동차,버스·승합차,버스·승합차 중고차,741220,8702903020,870290,8702,기타 내연기관 버스·승합차 중고차
자동차,버스·승합차,버스·승합차 신차,741230,8702201000,870220,8702,하이브리드 버스·승합차 신차
자동차,버스·승합차,버스·승합차 신차,741230,8702301000,870230,8702,하이브리드 버스·승합차 신차
자동차,버스·승합차,버스·승합차 중고차,741240,8702202000,870220,8702,하이브리드 버스·승합차 중고차
자동차,버스·승합차,버스·승합차 중고차,741240,8702302000,870230,8702,하이브리드 버스·승합차 중고차
자동차,버스·승합차,버스·승합차 신차,741250,8702401000,870240,8702,전기 버스·승합차 신차
자동차,버스·승합차,버스·승합차 중고차,741260,8702402000,870240,8702,전기 버스·승합차 중고차
자동차,승용차,승용차 신차,741310,8703217000,870321,8703,내연기관 승용차 신차
자동차,승용차,승용차 신차,741310,8703227000,870322,8703,내연기관 승용차 신차
자동차,승용차,승용차 신차,741310,8703231010,870323,8703,내연기관 승용차 신차
자동차,승용차,승용차 신차,741310,8703239010,870323,8703,내연기관 승용차 신차
자동차,승용차,승용차 신차,741310,8703241010,870324,8703,내연기관 승용차 신차
자동차,승용차,승용차 신차,741310,8703249010,870324,8703,내연기관 승용차 신차
자동차,승용차,승용차 신차,741310,8703317000,870331,8703,내연기관 승용차 신차
자동차,승용차,승용차 신차,741310,8703321010,870332,8703,내연기관 승용차 신차
자동차,승용차,승용차 신차,741310,8703329010,870332,8703,내연기관 승용차 신차
자동차,승용차,승용차 신차,741310,8703337000,870333,8703,내연기관 승용차 신차
자동차,승용차,승용차,741310,8703900000,870390,8703,기타 동력 승용차
자동차,승용차,승용차 중고차,741320,8703218000,870321,8703,내연기관 승용차 중고차
자동차,승용차,승용차 중고차,741320,8703228000,870322,8703,내연기관 승용차 중고차
자동차,승용차,승용차 중고차,741320,8703231020,870323,8703,내연기관 승용차 중고차
자동차,승용차,승용차 중고차,741320,8703239020,870323,8703,내연기관 승용차 중고차
자동차,승용차,승용차 중고차,741320,8703241020,870324,8703,내연기관 승용차 중고차
자동차,승용차,승용차 중고차,741320,8703249020,870324,8703,내연기관 승용차 중고차
자동차,승용차,승용차 중고차,741320,8703318000,870331,8703,내연기관 승용차 중고차
자동차,승용차,승용차 중고차,741320,8703321020,870332,8703,내연기관 승용차 중고차
자동차,승용차,승용차 중고차,741320,8703329020,870332,8703,내연기관 승용차 중고차
자동차,승용차,승용차 중고차,741320,8703338000,870333,8703,내연기관 승용차 중고차
자동차,승용차,승용차 신차,741330,8703401000,870340,8703,HEV 승용차 신차
자동차,승용차,승용차 신차,741330,8703501000,870350,8703,HEV 승용차 신차
자동차,승용차,승용차 신차,741330,8703601000,870360,8703,PHEV 승용차 신차
자동차,승용차,승용차 신차,741330,8703701000,870370,8703,PHEV 승용차 신차
자동차,승용차,승용차 중고차,741340,8703402000,870340,8703,HEV 승용차 중고차
자동차,승용차,승용차 중고차,741340,8703502000,870350,8703,HEV 승용차 중고차
자동차,승용차,승용차 중고차,741340,8703602000,870360,8703,PHEV 승용차 중고차
자동차,승용차,승용차 중고차,741340,8703702000,870370,8703,PHEV 승용차 중고차
자동차,승용차,승용차 신차,741350,8703801000,870380,8703,전기차 승용차 신차
자동차,승용차,승용차 중고차,741360,8703802000,870380,8703,전기차 승용차 중고차
자동차,화물차,특장 화물차,741410,8704100000,870410,8704,오프하이웨이 덤프차
자동차,화물차,화물차 신차,741410,8704211010,870421,8704,디젤 화물차 신차
자동차,화물차,특장 화물차,741410,8704219010,870421,8704,디젤 냉동·냉장차
자동차,화물차,특장 화물차,741410,8704219020,870421,8704,디젤 탱크차
자동차,화물차,특장 화물차,741410,8704219090,870421,8704,디젤 기타 특장
자동차,화물차,화물차 신차,741410,8704221011,870422,8704,디젤 화물차 신차
자동차,화물차,화물차 신차,741410,8704221091,870422,8704,디젤 화물차 신차
자동차,화물차,특장 화물차,741410,8704229010,870422,8704,디젤 냉동·냉장차
자동차,화물차,특장 화물차,741410,8704229090,870422,8704,디젤 기타 특장
자동차,화물차,화물차 신차,741410,8704231010,870423,8704,디젤 화물차 신차
자동차,화물차,특장 화물차,741410,8704239010,870423,8704,디젤 냉동·냉장차
자동차,화물차,특장 화물차,741410,8704239090,870423,8704,디젤 기타 특장
