20대품목,중분류,세부분류,MTI4,MTI6,HSK10,HS6,HS4,SITC,HSK 품목명,명칭 근거,source_page,리서치대분류,리서치중분류,리서치소분류,리서치세분류,대표품목명,대표품목ID,드릴다운명,드릴다운ID,분류상태,분류메모
반도체,메모리반도체,D램,8311,831110,8473304060,847330,8473,75997,디램 모듈,산업부/KITA 개편 취지 + HSK-MTI 연계표,91,반도체,메모리반도체,DRAM,DRAM 모듈,DRAM,SEMI_DRAM,DRAM 모듈,SEMI_8473304060,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합. HBM·DDR5는 HSK에서 DRAM과 별도 식별되지 않음.
반도체,메모리반도체,D램,8311,831110,8542321010,854232,8542,764,디램,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,메모리반도체,DRAM,DRAM,DRAM,SEMI_DRAM,DRAM,SEMI_8542321010,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합. HBM·DDR5는 HSK에서 DRAM과 별도 식별되지 않음.
반도체,메모리반도체,낸드/플래시 메모리,8311,831120,8542321030,854232,8542,764,플래시 메모리,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,메모리반도체,NAND,NAND·플래시,NAND,SEMI_NAND,NAND·플래시,SEMI_8542321030,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,메모리반도체,SRAM,8311,831130,8542321020,854232,8542,764,에스램,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,메모리반도체,SRAM,SRAM,SRAM,SEMI_SRAM,SRAM,SEMI_8542321020,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,메모리반도체,기타 메모리반도체,8311,831190,8542321090,854232,8542,764,기타,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,메모리반도체,기타 메모리,기타,기타 메모리,SEMI_기타_메모리,기타,SEMI_8542321090,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,메모리반도체,기타 메모리반도체,8311,831190,8542322000,854232,8542,764,하이브리드 집적회로,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,메모리반도체,기타 메모리,하이브리드 집적회로,기타 메모리,SEMI_기타_메모리,하이브리드 집적회로,SEMI_8542322000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,메모리반도체,기타 메모리반도체,8311,831190,8542323000,854232,8542,764,복합구조칩 집적회로,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,메모리반도체,기타 메모리,복합구조칩 집적회로,기타 메모리,SEMI_기타_메모리,복합구조칩 집적회로,SEMI_8542323000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,메모리반도체,기타 메모리반도체,8311,831190,8542324000,854232,8542,764,복합부품 집적회로(MCOs),산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,메모리반도체,기타 메모리,MCO,기타 메모리,SEMI_기타_메모리,MCO,SEMI_8542324000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,시스템반도체,프로세서와 컨트롤러,8312,831210,8542311000,854231,8542,776,모노리식(monolithic) 집적회로,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,시스템반도체,프로세서·컨트롤러,프로세서·컨트롤러 IC,프로세서·컨트롤러,SEMI_프로세서_컨트롤러,프로세서·컨트롤러 IC,SEMI_8542311000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,시스템반도체,프로세서와 컨트롤러,8312,831210,8542312000,854231,8542,776,하이브리드 집적회로,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,시스템반도체,프로세서·컨트롤러,프로세서·컨트롤러 IC,프로세서·컨트롤러,SEMI_프로세서_컨트롤러,프로세서·컨트롤러 IC,SEMI_8542312000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,시스템반도체,프로세서와 컨트롤러,8312,831210,8542313000,854231,8542,776,복합구조칩 집적회로,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,시스템반도체,프로세서·컨트롤러,프로세서·컨트롤러 IC,프로세서·컨트롤러,SEMI_프로세서_컨트롤러,프로세서·컨트롤러 IC,SEMI_8542313000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,시스템반도체,프로세서와 컨트롤러,8312,831210,8542314000,854231,8542,776,복합부품 집적회로(MCOs),산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,시스템반도체,프로세서·컨트롤러,프로세서·컨트롤러 IC,프로세서·컨트롤러,SEMI_프로세서_컨트롤러,프로세서·컨트롤러 IC,SEMI_8542314000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,시스템반도체,증폭기,8312,831220,8542331000,854233,8542,764,모노리식(monolithic) 집적회로,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,시스템반도체,증폭기 IC,증폭기 IC,증폭기 IC,SEMI_증폭기_IC,증폭기 IC,SEMI_8542331000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,시스템반도체,증폭기,8312,831220,8542332000,854233,8542,764,하이브리드 집적회로,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,시스템반도체,증폭기 IC,증폭기 IC,증폭기 IC,SEMI_증폭기_IC,증폭기 IC,SEMI_8542332000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,시스템반도체,증폭기,8312,831220,8542333000,854233,8542,764,복합구조칩 집적회로,산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,시스템반도체,증폭기 IC,증폭기 IC,증폭기 IC,SEMI_증폭기_IC,증폭기 IC,SEMI_8542333000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,시스템반도체,증폭기,8312,831220,8542334000,854233,8542,764,복합부품 집적회로(MCOs),산업부/KITA 개편 취지 + HSK-MTI 연계표,100,반도체,시스템반도체,증폭기 IC,증폭기 IC,증폭기 IC,SEMI_증폭기_IC,증폭기 IC,SEMI_8542334000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,시스템반도체,기타 시스템/집적회로,8312,831230,8523521000,852352,8523,89846,한 개의 전자집적회로를 갖춘 것과 그 부분품,산업부/KITA 개편 취지 + HSK-MTI 연계표,97,반도체,시스템반도체,기타 시스템 IC,기타 시스템 IC,기타 시스템 IC,SEMI_기타_시스템_IC,기타 시스템 IC,SEMI_8523521000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
반도체,시스템반도체,기타 시스템/집적회로,8312,831230,8523522000,852352,8523,89846,기타(프록시미티 카드(proximity card)와 태그로 한정한다),산업부/KITA 개편 취지 + HSK-MTI 연계표,97,반도체,시스템반도체,기타 시스템 IC,기타 시스템 IC,기타 시스템 IC,SEMI_기타_시스템_IC,기타 시스템 IC,SEMI_8523522000,업계기준 검토,산업부 ICT 수출 분류(메모리·시스템·개별소자·광전자)와 HS 세부코드 결합.
