date,item,export_usd_100m,yoy_pct,source,status
2026-08-01,반도체,466.5,209.0,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,디스플레이,15.7,-4.7,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,무선통신기기,18.8,21.2,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,컴퓨터,62.4,419.5,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,자동차,38.5,-29.8,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,자동차부품,15.0,-9.8,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,선박,16.9,-45.9,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,석유제품,68.4,65.3,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,석유화학,38.6,12.2,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,이차전지,6.0,24.0,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,일반기계,35.3,1.8,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,전기기기,15.0,16.2,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,철강제품,21.1,7.9,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,비철금속,14.8,23.9,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,농수산식품,9.8,1.5,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,화장품,13.1,52.1,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,생활용품,6.5,-3.4,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,섬유,7.5,0.2,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,가전,5.2,-1.5,산업통상부 2026년 8월 수출입동향,잠정
2026-08-01,바이오헬스,14.1,22.3,산업통상부 2026년 8월 수출입동향,잠정
